objectid,wuname,wuc,hucarea,huc,swma,area_sqmi,st_areashape,st_perimetershape
376,Waiohonu,6080,18338589.4839,6080,0,7.08099985,18338918.5525882,30266.8415789883
240,Hoea,2063,42657731.3681,2063,0,1.64699996,42658471.9970003,34872.0429496925
241,Wailua,2040,136768885.33,2040,0,5.28000021,136774616.657126,62334.4946793431
242,Hanapepe,2054,69460006.6442,2054,0,2.68099999,69461581.9806924,48896.2636278878
243,Kawailoa,2041,10097815.0268,2041,0,3.89899993,10098257.7046456,15648.8178274582
244,Niu,2064,7241438.32988,2064,0,2.796,7241540.23129276,16668.7375560361
247,Hanamaulu,2042,29862994.5558,2042,0,1.153,29864257.0710224,32524.8566386387
248,Kapilimao,2061,16511481.6617,2061,0,6.375,16511781.9969267,19374.4123913931
249,Huleia,2046,72615051.7143,2046,0,2.80299997,72617877.639878,50679.5488699608
253,Lihue Airport,2043,4702025.91637,2043,0,1.81500006,4702200.96268654,11997.7678958094
250,Aakukui,2058,13507689.1786,2058,0,5.21500015,13507961.0401892,25177.3422999359
255,Puali,2045,5246788.48427,2045,0,2.02600002,5246985.30824119,14240.2417893292
256,Waimea,2060,221796425.838,2060,0,8.56299973,221802162.826057,74765.8531942985
257,Lawai,2051,24956424.9028,2051,0,9.63599968,24957030.5892483,26593.853096397
251,Nawiliwili,2044,16409800.2353,2044,0,6.33599997,16410425.936875,24525.2967225988
252,Wahiawa,2053,18830035.6428,2053,0,7.26999998,18830464.732246,34455.1564947458
258,Kalaheo,2052,16812953.4326,2052,0,6.4920001,16813314.8084958,24895.6273183449
259,Waikomo,2049,23388571.7923,2049,0,9.02999973,23389433.8135337,28870.2939794755
388,Honolewa,6084,1612590.70311,6084,0,0.62300003,1612619.42349693,9570.12674888848
254,Mahinauli,2057,22518281.2201,2057,0,8.69400024,22518733.6399739,27045.9680260543
389,Alaalaula,6082,1221239.4683,6082,0,0.472,1221260.28172694,7207.38327646151
260,Kukamahu,2055,8228458.60699,2055,0,3.17700005,8228624.07824987,16618.7876919121
261,Mahaulepu,2048,34438872.8372,2048,0,1.329,34440128.4654098,34029.3317521151
262,Kipu Kai,2047,7806262.61469,2047,0,3.01399994,7806542.47368337,19386.6840609741
269,Kuahua,5005,6830663.25295,5005,0,2.63700008,6830715.85312207,14923.82309198
263,Kaumakani,2056,7915970.36632,2056,0,3.05599999,7916125.50327645,13648.4271291812
264,Aepo,2050,6612728.38928,2050,0,2.55299997,6612972.24686578,13803.6268269209
270,Poaiwa,5006,4180650.54593,5006,0,1.61399996,4180683.45095128,11563.2390242753
265,Lapaiki,5002,22738081.9675,5002,0,8.77900028,22738172.6235046,19859.3266710354
266,Puumaiekahi,5001,22986560.0243,5001,0,8.875,22986600.4180106,22523.5943054331
396,Kakiweka,6086,863083.515107,6086,0,0.333,863099.010028814,8777.61435047112
267,Kahua,5004,17254371.3459,5004,0,6.66200018,17254486.5984577,22278.4948330471
400,Lelekea,6095,1997943.27809,6095,0,0.77100003,1997982.31079713,10298.0717622012
268,Hawaiilanui,5003,9292624.74952,5003,0,3.58800006,9292679.27420671,20531.1493861421
312,Manawaiiao,6030,6088442.73404,6030,0,2.35100007,6088593.15696576,12241.1041093353
271,Halulu,5007,7435225.74743,5007,0,2.87100005,7435290.35650455,16392.6723898154
287,Kapua,5018,2962500.47985,5018,0,1.14400005,2962547.09191255,10321.2616412371
272,Maunalei,5008,15942235.9274,5008,0,6.15500021,15942397.1261866,24370.9943827294
273,Wahane,5009,14528656.2891,5009,0,5.61000013,14528811.5694036,18761.9382676734
274,Kaapahu,5032,29272982.1732,5032,0,1.13,29273067.0241566,28746.3247529968
317,Kealii,6032,1349342.39065,6032,0,0.52100003,1349374.84926507,6998.00636331859
318,Wahikuli,6009,25112681.7024,6009,0,9.6960001,25113710.6283385,28054.8074060726
275,Hauola,5010,6354082.41199,5010,0,2.45300007,6354158.72074998,18786.7982393413
401,Kaapahu,6094,1275082.89444,6094,0,0.49200001,1275107.77706088,10093.5114844604
276,Nahoko,5011,8972354.69914,5011,0,3.46399999,8972467.54543088,15005.4993932557
288,Kalamanui,5028,1848286.49934,5028,0,0.71399999,1848301.40323847,7236.59645378688
277,Paliamano,5030,32437948.7515,5030,0,1.25199997,32438206.3798526,32291.5001338123
278,Kaa,5012,2614955.50391,5012,0,1.00999999,2614990.11764782,12999.7226509408
289,Naha,5019,3763676.56011,5019,0,1.45299995,3763737.32059266,10759.0795098929
279,Haua,5013,6312165.13304,5013,0,2.43700004,6312251.0187418,14258.5353211692
280,Honopu,5031,5729874.60144,5031,0,2.21199989,5729912.73717601,12514.4268409094
281,Waiopa,5014,4600857.67307,5014,0,1.77600002,4600922.65861642,14369.0972283959
326,Hanawana,6039,1672002.68901,6039,0,0.64600003,1672034.3038677,8770.00219786865
327,Kahoma,6008,21794839.6303,6008,0,8.41499996,21795713.6850519,27083.5398586564
328,Kailua,6040,13458515.2282,6040,0,5.1960001,13458777.3214566,32786.4996756136
282,Kahea,5015,9242974.68788,5015,0,3.56900001,9243116.79514681,16608.1236965696
329,Kalialinui,6025,77647986.7081,6025,0,2.99799991,77650213.1964079,68296.1956660343
402,Kukuiula,6093,1892073.68982,6093,0,0.73100001,1892109.75639053,8785.72559760288
283,Palawai Basin,5025,51316275.5915,5025,0,1.98099995,51316874.586368,29917.7969621784
284,Lopa,5016,6337072.11628,5016,0,2.44700003,6337170.50273475,15628.0695885882
331,Puehu,6042,916847.327773,6042,0,0.354,916864.841855137,6410.94574149101
285,Awehi,5017,5765411.36,5017,0,2.22600007,5765500.33013989,12924.8558412202
