objectid,hawaiistgrdsownerlulcarea,perimeter,landcover,featureuid,createdate,createdby,modifieddate,modifiedby,agency,deliverydate,sourceid,severity,publishdate,comments,st_areashape,st_perimetershape
96,845767.916,5628.725,Commercial and Services,{24C6B8F3-B8B5-4408-8665-2644CC358F75},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,845804.274626963,5628.8529422392
97,182703.709,2038.897,Other Urban or Built-up Land,{961950E5-97EF-4F88-B1D8-A045291C2594},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,182711.487645144,2038.93980002215
98,2171511.977,10539.482,"Transportation, Communications and Utilities",{E4C1EF21-09F2-4A8F-B923-D7E50351AF66},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2171534.3827755,10539.5566666145
99,679025.372,3996.839,Cropland and Pasture,{D60071A9-578E-439E-B52D-DCF93AB461DE},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,679054.584114776,3996.92834741333
100,1416007.372,5755.28,Mixed Rangeland,{EDF80802-7F5C-4B1B-B373-F751EDA9C7A5},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1416036.81170462,5755.33698913985
101,196744.414,4355.543,Streams and Canals,{D3293C3A-4257-43FF-8F54-08033EC68D6F},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,196752.924249064,4355.6392383424
108,550833.828,3682.617,Evergreen Forest Land,{427AB3D9-42A5-4628-9359-E67C7ECD220A},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,550857.66370071,3682.70789542578
109,1037682.88,5749.523,Other Urban or Built-up Land,{FABA2544-5A90-48B5-BD40-520204405867},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1037728.88350625,5749.64636070283
144,305829.518,2173.203,Commercial and Services,{D34216D4-3FE8-4A2D-B98B-CFA6B332BAE4},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,305841.226181516,2173.24550745014
102,6034277.88,16721.396,Cropland and Pasture,{988ED338-E5D8-4DD9-A782-8C2BF53B37A1},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,6034539.3153495,16721.7465866571
103,6634774.541,15922.929,Shrub and Brush Rangeland,{3CD4D5A5-2F94-402B-BB4B-44525A929D6D},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,6634926.06841163,15923.1201314532
104,337992.839,2701.54,Commercial and Services,{844BF1D7-D1D2-49DE-BDD6-C0AD223F51BF},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,338007.598572695,2701.59637900865
105,75397.089,1071.019,Reservoirs,{C3FCEB40-1E40-42BB-B3FA-D3EE3E559D5D},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,75398.5205440337,1071.02902779924
106,275871.647,2176.878,Herbaceous Rangeland,{A96FFDE4-1C60-4567-BAF7-5C4CF5C5A78B},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,275876.937874337,2176.89650708999
107,632692.669,4000.879,Commercial and Services,{81F58758-9A28-40CE-AC20-97EA970A6A74},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,632699.171952219,4000.9069369872
110,814477.393,4862.683,Evergreen Forest Land,{F980BF6A-6887-40CF-B6AB-26F61A55955F},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,814513.067408627,4862.7904289637
111,724893.712,4277.081,Cropland and Pasture,{FF7B6994-516B-46D8-8EE1-8B44160DE6C8},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,724925.103997009,4277.18424466264
112,1216533.965,6109.445,Mixed Rangeland,{3D946413-98C5-4A85-B8BB-F71BF04A7C73},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1216539.83189755,6109.45788611301
113,564778.573,2837.025,Herbaceous Rangeland,{70550619-7671-450E-94E8-E41669344B83},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,564790.144258607,2837.05283392719
114,272307.816,4104.834,Reservoirs,{D600F2FC-FFCD-4858-919B-33963D202D22},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,272319.829152064,4104.93018150575
130,465069.076,2809.032,Herbaceous Rangeland,{E51A1C52-E5FE-4C21-897B-80083FF5D289},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,465078.438362694,2809.0554455163
532,43544.98,973.314,Residential,{FE91293E-D2FE-4DF6-BCCA-CE4C7C514E14},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,43544.6835593561,973.310734632891
115,2290954.727,11785.998,Evergreen Forest Land,{90B5B52D-CB7A-4725-86D1-BD3EFEC01307},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2290979.71325483,11786.0986987043
116,199814.368,1831.474,Commercial and Services,{92A12936-5C65-4B9A-8DB5-BE6BADA831D8},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,199823.376379651,1831.5153668952
117,249069.291,2145.695,Other Urban or Built-up Land,{977E933C-14CB-4758-BA0E-5BB28E03A552},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,249080.576163843,2145.74092050698
